Metric,Bank,Value
Revenue growth (YoY),Au Small Finance Bank,0.005023303292
Gross margin,Au Small Finance Bank,0.4889736933
EBITDA margin,Au Small Finance Bank,0.6974389821
PBT margin,Au Small Finance Bank,0.1864126755
current ratio/quick ratio,Au Small Finance Bank,1.260531453
Debt equity ratio,Au Small Finance Bank,8.439398017
Return on net worth/ROE,Au Small Finance Bank,0.1338514562
Inventory Turnover days,Au Small Finance Bank,0.0
Receivables Turnover days,Au Small Finance Bank,0.0
Payables Turnover days,Au Small Finance Bank,0.0
Net WC turnover days,Au Small Finance Bank,0.0
ROA,Au Small Finance Bank,0.06978056641
EBIT,Au Small Finance Bank,12997.71
Tangible assets,Au Small Finance Bank,0.0
Intangible assets,Au Small Finance Bank,0.0
Net Current Assets,Au Small Finance Bank,1441.26
WC debt as a % of WC,Au Small Finance Bank,0.2066838179
Revenue growth (YoY),Capital Small Finance Bank,0.1542102367
Gross margin,Capital Small Finance Bank,0.4400343315
EBITDA margin,Capital Small Finance Bank,0.6462998283
PBT margin,Capital Small Finance Bank,0.1800495899
current ratio/quick ratio,Capital Small Finance Bank,2.488512332
Debt equity ratio,Capital Small Finance Bank,7.198401128
Return on net worth/ROE,Capital Small Finance Bank,0.09677419355
Inventory Turnover days,Capital Small Finance Bank,0.0
Receivables Turnover days,Capital Small Finance Bank,0.0
Payables Turnover days,Capital Small Finance Bank,0.0
Net WC turnover days,Capital Small Finance Bank,0.0
ROA,Capital Small Finance Bank,0.05657904294
EBIT,Capital Small Finance Bank,677.71
Tangible assets,Capital Small Finance Bank,96.82
Intangible assets,Capital Small Finance Bank,0.0
Net Current Assets,Capital Small Finance Bank,246.84
WC debt as a % of WC,Capital Small Finance Bank,0.5981534883
Revenue growth (YoY),ESAF Small Finance Bank,-0.08415885164
Gross margin,ESAF Small Finance Bank,0.4805353417
EBITDA margin,ESAF Small Finance Bank,0.2256006197
PBT margin,ESAF Small Finance Bank,-0.0645712121
current ratio/quick ratio,ESAF Small Finance Bank,2.296119908
Debt equity ratio,ESAF Small Finance Bank,16.06868385
Return on net worth/ROE,ESAF Small Finance Bank,-0.09348104537
Inventory Turnover days,ESAF Small Finance Bank,0.0
Receivables Turnover days,ESAF Small Finance Bank,0.0
Payables Turnover days,ESAF Small Finance Bank,0.0
Net WC turnover days,ESAF Small Finance Bank,0.0
ROA,ESAF Small Finance Bank,0.02626441022
EBIT,ESAF Small Finance Bank,797.99
Tangible assets,ESAF Small Finance Bank,515.98
Intangible assets,ESAF Small Finance Bank,0.0
Net Current Assets,ESAF Small Finance Bank,628.67
WC debt as a % of WC,ESAF Small Finance Bank,0.564482675
Revenue growth (YoY),Jana Small Finance Bank,0.1365411197
Gross margin,Jana Small Finance Bank,0.4844373205
EBITDA margin,Jana Small Finance Bank,0.3856379849
PBT margin,Jana Small Finance Bank,0.06098223943
current ratio/quick ratio,Jana Small Finance Bank,1.438141623
Debt equity ratio,Jana Small Finance Bank,9.311063094
Return on net worth/ROE,Jana Small Finance Bank,0.07362689661
Inventory Turnover days,Jana Small Finance Bank,0.0
Receivables Turnover days,Jana Small Finance Bank,0.0
Payables Turnover days,Jana Small Finance Bank,0.0
Net WC turnover days,Jana Small Finance Bank,0.0
ROA,Jana Small Finance Bank,0.0451553785
EBIT,Jana Small Finance Bank,2064.27
Tangible assets,Jana Small Finance Bank,198.69
Intangible assets,Jana Small Finance Bank,0.0
Net Current Assets,Jana Small Finance Bank,759.26
WC debt as a % of WC,Jana Small Finance Bank,0.3046581894
Revenue growth (YoY),Suryoday Small Finance Bank,0.1057146513
Gross margin,Suryoday Small Finance Bank,0.5085937536
EBITDA margin,Suryoday Small Finance Bank,0.417295826
PBT margin,Suryoday Small Finance Bank,0.0923811155
current ratio/quick ratio,Suryoday Small Finance Bank,2.486390807
Debt equity ratio,Suryoday Small Finance Bank,8.235690365
Return on net worth/ROE,Suryoday Small Finance Bank,0.07312155972
Inventory Turnover days,Suryoday Small Finance Bank,0.0
Receivables Turnover days,Suryoday Small Finance Bank,0.0
Payables Turnover days,Suryoday Small Finance Bank,0.0
Net WC turnover days,Suryoday Small Finance Bank,0.0
ROA,Suryoday Small Finance Bank,0.04696499871
EBIT,Suryoday Small Finance Bank,901.48
Tangible assets,Suryoday Small Finance Bank,298.04
Intangible assets,Suryoday Small Finance Bank,0.0
Net Current Assets,Suryoday Small Finance Bank,1024.48
WC debt as a % of WC,Suryoday Small Finance Bank,0.5978106108
Revenue growth (YoY),Ujjivan Small Finance Bank,0.09081280815
Gross margin,Ujjivan Small Finance Bank,0.5584690072
EBITDA margin,Ujjivan Small Finance Bank,0.4131833888
PBT margin,Ujjivan Small Finance Bank,0.1314342598
current ratio/quick ratio,Ujjivan Small Finance Bank,2.192116004
Debt equity ratio,Ujjivan Small Finance Bank,7.35369662
Return on net worth/ROE,Ujjivan Small Finance Bank,0.1030960213
Inventory Turnover days,Ujjivan Small Finance Bank,0.0
Receivables Turnover days,Ujjivan Small Finance Bank,0.0
Payables Turnover days,Ujjivan Small Finance Bank,0.0
Net WC turnover days,Ujjivan Small Finance Bank,0.0
ROA,Ujjivan Small Finance Bank,0.05103038631
EBIT,Ujjivan Small Finance Bank,2863.96
Tangible assets,Ujjivan Small Finance Bank,493.07
Intangible assets,Ujjivan Small Finance Bank,0.0
Net Current Assets,Ujjivan Small Finance Bank,1691.1
WC debt as a % of WC,Ujjivan Small Finance Bank,0.5438197622
Revenue growth (YoY),Utkarsh Small Finance Bank,-0.1025649879
Gross margin,Utkarsh Small Finance Bank,0.4370630819
EBITDA margin,Utkarsh Small Finance Bank,-0.01051858955
PBT margin,Utkarsh Small Finance Bank,-0.445903551
current ratio/quick ratio,Utkarsh Small Finance Bank,1.016495663
Debt equity ratio,Utkarsh Small Finance Bank,8.99804849
Return on net worth/ROE,Utkarsh Small Finance Bank,-0.4229998861
Inventory Turnover days,Utkarsh Small Finance Bank,0.0
Receivables Turnover days,Utkarsh Small Finance Bank,0.0
Payables Turnover days,Utkarsh Small Finance Bank,0.0
Net WC turnover days,Utkarsh Small Finance Bank,0.0
ROA,Utkarsh Small Finance Bank,-0.001306406797
EBIT,Utkarsh Small Finance Bank,-35.54
Tangible assets,Utkarsh Small Finance Bank,457.83
Intangible assets,Utkarsh Small Finance Bank,0.0
Net Current Assets,Utkarsh Small Finance Bank,27.46
WC debt as a % of WC,Utkarsh Small Finance Bank,0.01622797168
